616560,Ultimate Epic Battle Simulator,-90%,$1.49,74.67%,Apr 2017,0;
8140,Tomb Raider: Underworld,-89%,$0.49,74.56%,Nov 2008,0;
582660,Black Desert,-70%,$1.49,74.22%,May 2017,0;
104900,ORION: Prelude,N/A,N/A,N/A,Apr 2013,138;
667890,Dead Maze,N/A,N/A,N/A,Feb 2018,72;
1073870,Self Shot,-80%,$0.59,72.47%,Jun 2019,44;
1388130,Religion inc God Simulator,N/A,N/A,N/A,Oct 2020,0;
1563180,Internet Cafe Simulator 2,-55%,$4.72,72.11%,Jan 2022,444;
1097200,Twelve Minutes,-60%,$4.79,71.40%,Aug 2021,846;
1363770,Escape Quest,-30%,$2.09,70.10%,Sep 2020,0;
1030830,Mafia II: Definitive Edition,-67%,$9.89,70.09%,May 2020,0;
11140,Sherlock Holmes: The Awakened (2008),-80%,$1.19,69.56%,Sep 2008,0;
673280,GyroSphere Trials,N/A,N/A,N/A,Aug 2017,450;
11040,Sherlock Holmes - Nemesis,-80%,$1.19,68.78%,Apr 2008,0;
1172650,INDUSTRIA,-60%,$4.19,67.91%,Sep 2021,0;
1184160,RUSSIAPHOBIA,-51%,$0.44,67.61%,Dec 2020,0;
1570070,Beholder 3,-60%,$3.19,66.91%,Mar 2022,0;
601010,Hotel Anatolia,-51%,$0.49,66.63%,Mar 2017,11;
1086640,Dude Simulator 3,N/A,N/A,N/A,Aug 2019,66;
407530,ARK: The Survival Of The Fittest,N/A,N/A,N/A,Aug 2017,0;
517630,Just Cause 4 Reloaded,-94%,$2.94,60.89%,Dec 2018,258;
1195460,Last Year,N/A,N/A,N/A,Dec 2019,0;
11150,Sherlock Holmes: The Silver Earring,-80%,$1.19,58.17%,Sep 2004,0;
1938090,Call of Duty®,N/A,N/A,N/A,Oct 2022,0;
578080,PUBG: BATTLEGROUNDS,N/A,N/A,N/A,Dec 2017,102;
360430,Mafia III: Definitive Edition,-67%,$9.89,56.91%,May 2020,0;
684580,Shoppe Keep 2,N/A,N/A,N/A,Apr 2019,18;
337630,Bermuda,N/A,N/A,N/A,Mar 2015,0;
1392060,Erzurum,-51%,$0.44,40.45%,Feb 2021,0;
11180,Sherlock Holmes: The Mystery of the Persian Carpet,-80%,$1.19,38.64%,—,0;
12240,Grand Theft Auto: Vice City,N/A,N/A,N/A,—,0;
596350,Paladins - Public Test,N/A,N/A,N/A,—,0;
1449560,Metro Exodus Enhanced Edition,N/A,N/A,N/A,—,0;
